Time,API Key Name,Model,Reasoning Effort,Inbound Endpoint,IP Address,Type,Billing Mode,Input Tokens,Output Tokens,Cache Read Tokens,Cache Creation Tokens,Rate Multiplier,Billed Cost,Original Cost,First Token (ms),Duration (ms)
2026-07-16T19:01:52.398865+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1039,31,216832,0,0.3,0.0343623,0.114541,27267,28459
2026-07-16T19:01:43.622788+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,5119,455,66304,0,0.3,0.00434382,0.0144794,16621,29370
2026-07-16T19:01:14.414027+08:00,,gpt-5.6-sol,XHigh,/v1/responses,117.14.140.249,Stream,按量,210896,83,6912,0,0.3,0.3181278,1.060426,16797,20769
2026-07-16T19:01:11.900541+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,7230,1016,61184,0,0.3,0.00583332,0.0194444,2987,22863
2026-07-16T19:00:52.275798+08:00,,gpt-5.6-sol,XHigh,/v1/responses,117.14.140.249,Stream,按量,1604,197,215808,0,0.3,0.0365502,0.121834,9040,12812
2026-07-16T19:00:47.799614+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1542,374,65280,0,0.3,0.0030942,0.010314,27625,36377
2026-07-16T19:00:24.891001+08:00,,gpt-5.6-sol,XHigh,/v1/responses,117.14.140.249,Stream,按量,467,31,216832,0,0.3,0.0335043,0.111681,30758,35210
2026-07-16T19:00:08.380815+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,18431,428,47872,0,0.3,0.00773586,0.0257862,19309,31129
2026-07-16T18:59:38.793798+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1392,71,215808,0,0.3,0.0350982,0.116994,29376,32664
2026-07-16T18:59:36.567143+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1051,44,61184,0,0.3,0.00223002,0.0074334,3589,4433
2026-07-16T18:59:21.324814+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,34241,574,27392,0,0.3,0.01212726,0.0404242,9965,20442
2026-07-16T18:59:03.677022+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1044,197,215808,0,0.3,0.0357102,0.119034,12984,15632
2026-07-16T18:58:57.567772+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,10829,757,37632,0,0.3,0.00574026,0.0191342,14642,28284
2026-07-16T18:58:26.129442+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,31636,766,6912,0,0.3,0.01107696,0.0369232,10212,24504
2026-07-16T18:58:21.780887+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,931,31,215808,0,0.3,0.0340467,0.113489,21806,23491
2026-07-16T18:57:58.595043+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1140,372,26368,0,0.3,0.00180264,0.0060088,2833,9081
2026-07-16T18:57:45.913626+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,834,69,215808,0,0.3,0.0342432,0.114144,32651,34628
2026-07-16T18:57:38.15434+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,17704,203,6912,0,0.3,0.00588396,0.0196132,9220,12616
2026-07-16T18:57:21.930159+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,773,341,23296,0,0.3,0.00154458,0.0051486,4320,12351
2026-07-16T18:57:09.198038+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,694,88,215808,0,0.3,0.0342042,0.114014,24546,27392
2026-07-16T18:57:08.886735+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1587,479,22272,0,0.3,0.00200646,0.0066882,2983,11224
2026-07-16T18:56:49.706105+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,15904,807,6912,0,0.3,0.00643116,0.0214372,3490,17917
2026-07-16T18:56:38.529629+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1289,208,214784,0,0.3,0.0360231,0.120077,26530,30728
2026-07-16T18:55:29.789631+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,248,31,215808,0,0.3,0.0330222,0.110074,10607,10946
2026-07-16T18:55:06.701803+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1175,69,214784,0,0.3,0.0346011,0.115337,17181,18217
2026-07-16T18:54:13.911371+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1110,31,214784,0,0.3,0.0341616,0.113872,11638,14937
2026-07-16T18:53:52.698965+08:00,,gpt-5.4-mini,Low,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,12861,71,1536,0,0.3,0.00302413,0.01008045,3071,4005
2026-07-16T18:53:47.407432+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1013,69,214784,0,0.3,0.0343581,0.114527,17909,19016
2026-07-16T18:53:23.416459+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1739,238,213760,0,0.3,0.0368145,0.122715,10977,15125
2026-07-16T18:53:05.603839+08:00,,gpt-5.6-sol,XHigh,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,1525,91,213760,0,0.3,0.0351705,0.117235,28262,31502
2026-07-16T18:52:55.473021+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,796,385,130816,0,0.3,0.00485628,0.0161876,2929,10069
2026-07-16T18:52:36.343593+08:00,,gpt-5.6-luna,Max,/v1/responses,2408:8210:5428:c3b2:4028:1d89:4ef9:67f5,Stream,按量,12497,487,118528,0,0.3,0.00818154,0.0272718,4508,13373
